nres,me,ma,name,sasa_sc,sasa_bb,mass_error,class,gyr,linearity
22,-0.032962833,0.075355664,2x8kA02,1548.6917,673.442,-0.073658176,6,9.841594157770231,0.44734518898955594
22,-0.013575512,0.14609124,2oj5B01,1403.3412,561.6015,-0.068714105,4,7.42825756036417,0.3376480709256441
22,0.3874682,0.21052715,3m4wE01,2335.3176,336.9178,-0.06996669,1,10.202614469951431,0.4637552031796105
22,0.11262518,0.10270569,2o01N01,1984.2354,496.12952,-0.07470789,1,10.516144732058091,0.47800657872991326
22,0.5255192,0.3465472,2e30B01,1953.682,308.15643,-0.070030995,6,9.64851702340397,0.4385689556092714
23,0.28481728,0.20173481,3rqsB01,1758.1267,439.17337,-0.068127386,6,9.962970603556236,0.4331726349372277
23,0.31531355,0.20398606,3mwbA04,1770.4943,455.8209,-0.06780038,6,9.890555472122706,0.4300241509618568
23,0.39322057,0.2905391,2odrC01,2143.7405,339.27798,-0.07151774,6,7.664528241736393,0.33324035833636495
23,0.24911128,0.29799715,3vdpA02,1818.6014,424.52557,-0.067015044,3,7.599904685901286,0.33043063851744725
23,0.10358806,0.057824306,1iw7D12,2157.9897,483.22873,-0.07365608,6,10.975544758047851,0.47719759817599355
23,0.5414212,0.28656653,2ks1B01,1963.289,433.76718,-0.08198858,1,10.105414193546366,0.43936583450201594
23,0.59358555,0.33284873,2l2tA01,1894.7511,416.83566,-0.07955383,6,10.138132737318791,0.44078837988342573
23,0.015664427,0.16009183,2e45A01,1451.9281,531.97424,-0.06330507,2,7.986168601428669,0.34722472180124647
23,0.05912188,0.16244127,2kq8A01,1627.0946,615.67474,-0.067004785,4,7.974212828032133,0.3467049055666145
23,0.25820413,0.17651801,2wscH01,1950.0614,560.7928,-0.07967314,1,10.443184508093738,0.45405150035190167
23,0.17790863,0.17365006,1g3iF02,2229.9507,472.61792,-0.07571896,1,8.342486555622433,0.3627168067661927
24,0.41632268,0.2941359,3ikmA04,2091.607,388.8273,-0.07419619,1,10.365177319948701,0.4318823883311959
24,0.26600093,0.17761257,3v4yB01,2355.826,472.78586,-0.06943812,6,11.814195232085504,0.49225813467022933
24,0.29701743,0.20705552,3bg5B02,2091.6482,482.68286,-0.07354272,6,8.80670633275312,0.36694609719804666
24,-0.024901565,0.04293618,2vf1A01,2162.8464,552.5548,-0.06939542,6,11.491332762514324,0.47880553177143015
24,0.3389258,0.17974399,2looA01,2347.3376,641.05023,-0.07110425,6,11.583605163058152,0.482650215127423
24,0.15411495,0.25563207,1wmvA01,1601.7285,513.0857,-0.06367865,2,8.378264806184017,0.34909436692433404
24,0.54486984,0.316475,3clqB01,2124.5957,357.77448,-0.07091272,1,10.641657420228801,0.4434023925095334
24,0.487169,0.29415053,3hr4C01,2243.0422,360.54288,-0.079862855,6,10.652860925716878,0.4438692052382032
24,0.03100762,0.10329359,2dcfA01,2135.703,626.00653,-0.06841932,6,11.634844638124344,0.484785193255181
24,0.14269836,0.26261738,1wjpA02,1699.5155,471.31323,-0.06663465,3,7.235903474786364,0.3014959781160985
25,0.7052033,0.39221418,3g3zA01,2267.5042,345.335,-0.069507755,1,11.123571528760465,0.4449428611504186
25,0.61796415,0.26704967,4gczA02,2359.3198,382.06763,-0.06986792,6,11.183366414649877,0.4473346565859951
25,0.22714815,0.20128383,3ksrA01,1706.8633,615.2876,-0.07346342,6,11.294201811559846,0.45176807246239387
25,0.12613967,0.13771391,2e0zA02,2024.052,539.62976,-0.07351972,6,10.997397556664616,0.43989590226658465
25,0.5768557,0.35169756,3vmaA01,2293.192,354.97,-0.07792022,1,11.362278199837519,0.4544911279935008
25,0.57657766,0.38012686,2axcA02,2256.0425,348.8662,-0.06791008,1,11.099470684816845,0.4439788273926738
25,0.39394143,0.18322198,1x3wA01,2572.0417,407.12622,-0.076649,6,12.3676043064152,0.494704172256608
25,0.32138747,0.33974957,1ro2A03,1780.2435,522.0023,-0.06259644,2,8.314799857102141,0.33259199428408565
25,0.036353663,0.06589757,3nynA05,1994.3005,548.22235,-0.07429167,6,8.714548399403263,0.3485819359761305
25,0.08269637,0.17304441,2pw9A01,1984.7501,590.74884,-0.0734085,4,11.212821960930025,0.448512878437201
25,0.5013466,0.3118522,2j59M02,2257.9114,386.31558,-0.069472946,1,10.774011399306447,0.4309604559722579
25,0.49626625,0.3532367,1iznB03,2429.406,408.4025,-0.0726718,6,12.558980411539476,0.5023592164615791
25,0.20478468,0.11111163,3phuA02,2380.9163,513.69073,-0.070448995,6,14.334948369092205,0.5733979347636882
25,0.67039275,0.35365352,2o01J01,2306.833,387.53952,-0.07304604,1,10.846971069719377,0.4338788427887751
26,0.5290254,0.26853135,3pdiD03,2493.594,459.7008,-0.06928947,6,12.0178181153195,0.4622237736661346
26,0.20842429,0.11203246,3kxlA02,2412.538,571.3264,-0.07601566,6,12.821724871219942,0.49314326427769006
26,0.15087609,0.16668166,2w02B07,2258.603,542.0682,-0.07355415,3,10.07439898387339,0.3874768839951304
26,0.24259897,0.18194772,3abqB01,2192.8743,505.34653,-0.070458576,6,9.054459033538858,0.3482484243668792
26,-0.11924979,0.048559893,2ynzC02,1829.7866,766.9429,-0.0640016,4,9.725003343262493,0.3740385901254805
26,0.6102418,0.29074198,1korA03,2400.4663,418.4214,-0.07456356,1,11.752353511332608,0.4520135965897157
26,0.5155789,0.26340505,2p1jB02,2464.1855,426.82178,-0.06963723,1,12.766881256885174,0.4910338944955836
26,0.087479725,0.21795607,2wzpP02,1859.9056,669.6541,-0.07023233,6,11.081796665718183,0.4262229486814686
26,0.46727082,0.29317304,2pajA03,2463.2578,466.54688,-0.07705922,1,11.806082268074992,0.4540800872336535
26,0.19713429,0.29018685,2cr8A01,2095.8337,469.50995,-0.067275,2,7.22442856590801,0.27786263715030807
26,-0.03472125,0.02566408,2k7vB01,2003.4877,709.8726,-0.07861084,6,9.968632420715032,0.38340893925827046
26,0.37726167,0.32977393,1lqlA01,2223.141,496.86115,-0.06877951,2,9.319014993241723,0.3584236535862201
26,-0.17150047,-0.024754696,1zpsA02,2049.7686,653.71014,-0.06826551,4,8.950605865876225,0.3442540717644702
26,-0.33054996,-0.10761725,2l92A01,1695.4081,800.59094,-0.06596312,4,8.32144744505503,0.320055670963655
27,0.47390255,0.34704253,4j8zA02,2013.279,451.14142,-0.081980795,6,8.905368813391629,0.3298284745700603
27,0.2230974,0.15104017,2lvaA02,2392.3252,583.1605,-0.0725013,6,12.963468818533093,0.4801284747604849
27,0.17489642,0.3223834,2egtA01,1617.2374,575.6387,-0.07326979,6,8.17583997902154,0.30280888811190887
27,0.54194033,0.49034768,2rsiA03,2128.0034,382.72116,-0.07222848,3,7.848777644600427,0.2906954683185343
27,0.033227466,0.09180648,3ksvA02,2318.2605,607.62933,-0.08836337,6,12.419261520423845,0.45997264890458683
27,0.31589097,0.23146659,2kkrA01,2219.3743,460.20413,-0.07480557,6,8.770819012853469,0.32484514862420255
27,0.22508307,0.21905932,3fi7A02,2078.992,583.8465,-0.064822964,4,11.591185082015604,0.4293031511857631
27,0.11485667,0.24889167,2wjvD02,2048.0251,582.1875,-0.07117029,4,9.916814250898572,0.3672894166999471
27,0.5209898,0.398474,1sqgA02,2277.2783,401.61313,-0.09097346,1,8.87827504661426,0.32882500172645407
27,0.20712344,0.32736787,2j7jA03,1815.3604,524.9251,-0.06736755,3,7.865421841617625,0.291311920059912
27,0.5305042,0.29838258,4gnsA01,2536.0806,434.85977,-0.07176899,1,12.522091747820104,0.463781175845189
27,0.81131023,0.3957911,2lpfA01,2719.5125,288.75217,-0.077164605,1,11.832734223394226,0.43824941568126763
27,0.40964642,0.1797221,2wjvD01,2570.6536,502.15237,-0.069103,6,11.990636038244668,0.44409763104609884
27,0.057223998,0.08183792,2r1fA01,2415.5042,616.40845,-0.0717628,3,8.848684852410054,0.3277290686077798
27,0.33253515,0.3013076,1q16A01,2388.1018,590.56647,-0.06862641,4,10.718297556892876,0.39697398358862507
27,0.86651826,0.44366178,1omiA02,2715.0693,263.18628,-0.06966591,1,11.959495930973581,0.4429442937397623
27,-0.06541438,0.10455529,1np6A02,2250.832,708.09064,-0.07026355,2,10.516363111193371,0.38949493004419894
27,-0.19124313,-0.011597935,1v1hA02,1862.5529,765.67,-0.064517,6,9.285237536653106,0.34389768654270764
27,0.26109985,0.24484085,1emnA01,1817.4683,686.0847,-0.062683456,2,9.193487661801564,0.34049954302968755
27,0.6070839,0.3083394,1fdoA05,2467.6248,382.69934,-0.06628794,1,11.887964476142733,0.44029498059787897
28,0.58816856,0.26131696,3in6A01,2599.4546,429.9329,-0.084108554,1,13.086511588121196,0.4673754138614713
28,0.85317403,0.45896265,3s13B01,2877.5269,326.33423,-0.07130796,1,12.239207162071871,0.43711454150256684
28,-0.24379817,0.14054161,2yn3D03,1567.41,733.3961,-0.0712943,6,8.781512398573787,0.3136254428062067
28,-0.027691549,0.13712783,3df7A04,2143.4612,629.9182,-0.06797431,4,9.29908138713981,0.3321100495407075
28,-0.13821813,0.13809495,2x2zD03,1585.9613,774.6386,-0.06517597,2,9.774661506103818,0.34909505378942207
28,0.36886823,0.25531492,2g8yA03,2356.2761,569.5136,-0.06393237,1,12.55035257491494,0.4482268776755336
28,0.09449634,0.10262233,4emcC01,2653.2866,612.7321,-0.071523346,6,14.733512840480262,0.5261968871600093
28,0.12700313,0.3154986,2a25A01,1931.3602,634.5642,-0.065577954,3,8.301567288150911,0.2964845460053897
28,0.25726706,0.13417152,3i38I02,2679.5,527.39795,-0.069092065,1,11.588687480337764,0.41388169572634875
28,0.18477984,0.2203073,2p3yA01,2229.953,550.80115,-0.06854326,2,8.705304458235169,0.31090373065125604
28,0.7108375,0.44681582,2bicA01,2355.8528,467.29282,-0.06430124,6,8.60844612599854,0.30744450449994787
28,0.044357534,0.16687213,1s7mA03,2090.4932,732.5632,-0.072424464,2,10.009812312744995,0.3574932968837498
28,0.1755476,0.11493688,1wmkA03,2861.4229,518.852,-0.09362397,1,14.286859396271183,0.5102449784382566
28,-0.10160683,0.13202934,2rblA01,2055.4146,657.7777,-0.07216026,2,11.91878406314896,0.42567085939817717
28,0.71577305,0.37580281,2rqmA01,2519.5283,468.6592,-0.062730126,6,11.33261265754034,0.4047361663407264
28,0.33405998,0.33274728,1kg1A01,2139.959,593.6898,-0.06755866,6,9.067982264128613,0.32385650943316474
28,0.30783752,0.38883558,1lmmA01,2125.3625,629.938,-0.06636977,6,8.15948068227137,0.29141002436683466
29,0.78288215,0.3936825,3o6qA01,3043.7407,363.78464,-0.069844685,1,13.916314814421206,0.47987292463521397
29,0.10848854,0.14697963,3egnA01,2668.0203,651.6565,-0.06971285,6,11.851673320890072,0.40867839037551973
29,0.80283743,0.40881118,3gw6A04,2848.0806,357.60358,-0.071670145,1,12.953547247941703,0.44667404303247255
29,0.49676055,0.3752366,3s6xC02,2379.4985,483.75977,-0.071064785,6,12.253623603641488,0.42253874495315474
29,0.7034912,0.50301176,3onqC01,2394.1765,438.8248,-0.0701188,1,8.51492711423311,0.29361817635286586
29,0.50944567,0.4232586,2aw4201,2542.7673,483.91306,-0.07403447,6,9.600237526469492,0.3310426733265342
29,0.3090859,0.39784446,2rsiA02,1912.1481,643.25226,-0.07016125,3,8.576425061305013,0.29573879521741425
29,0.3614648,0.2760057,3i08B01,2108.1758,659.8916,-0.06784743,6,10.823644909075101,0.37322913479569314
29,0.48075068,0.34247804,1zr6A04,2533.7014,507.41534,-0.07339569,6,9.907438799632983,0.34163582067699944
29,0.15243061,0.19796705,1vddC04,2106.4487,793.48676,-0.07035786,6,9.249528508466337,0.3189492589126323
29,0.7039258,0.4268789,2yiuC01,2243.0422,512.7563,-0.066741735,1,12.85197706090657,0.44317162278988176
